"Anxiety1: by counties, local and unitary authorities; 2011/12  – 2015/162",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,Back to contents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adults aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,
,,Average (mean) ratings,,,,,,,,,,,,,,,,,,,,,,
,,2011/12,2012/13,2013/14,2014/15,2015/16,,,,,,,,,,,,,,,,,,
Area Codes,Area Names ,,,,,,,,,,,,,,,,,,,,,,,
E08000036,Wakefield,3.01,3.26,3.10,3.01,2.85,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,3.12,2.95,2.84,2.73,2.75,,,,,,,,,,,,,,,,,,
E06000015,Derby ,3.15,3.02,3.16,2.95,2.92,,,,,,,,,,,,,,,,,,
E06000016,Leicester,3.27,3.14,3.37,3.08,3.26,,,,,,,,,,,,,,,,,,
E06000018,Nottingham,3.12,2.81,2.79,2.99,2.81,,,,,,,,,,,,,,,,,,
E06000017,Rutland ,3.05,2.97,2.78,2.75,2.65,,,,,,,,,,,,,,,,,,
E10000007,Derbyshire,2.95,3.11,2.71,2.68,2.75,,,,,,,,,,,,,,,,,,
E07000032,Amber Valley,2.86,2.89,2.74,2.57,2.18,,,,,,,,,,,,,,,,,,
E07000033,Bolsover,2.83,2.91,2.25,3.39,3.50,,,,,,,,,,,,,,,,,,
E07000034,Chesterfield,2.96,3.26,2.26,2.13,2.54,,,,,,,,,,,,,,,,,,
E07000035,Derbyshire Dales,2.75,3.21,2.85,2.49,2.58,,,,,,,,,,,,,,,,,,
E07000036,Erewash,3.25,2.90,2.90,2.87,2.39,,,,,,,,,,,,,,,,,,
E07000037,High Peak,2.64,2.95,2.93,2.75,2.61,,,,,,,,,,,,,,,,,,
E07000038,North East Derbyshire,3.08,3.18,2.94,2.79,3.01,,,,,,,,,,,,,,,,,,
E07000039,South Derbyshire,3.11,3.66,2.75,2.57,3.51,,,,,,,,,,,,,,,,,,
E10000018,Leicestershire,3.54,3.12,3.04,2.73,2.82,,,,,,,,,,,,,,,,,,
E07000129,Blaby,3.79,3.19,3.11,2.42,2.91,,,,,,,,,,,,,,,,,,
E07000130,Charnwood,3.55,3.36,3.25,2.65,2.71,,,,,,,,,,,,,,,,,,
E07000131,Harborough,3.53,3.63,3.55,2.92,2.98,,,,,,,,,,,,,,,,,,
E07000132,Hinckley and Bosworth,3.27,2.79,2.58,3.21,2.66,,,,,,,,,,,,,,,,,,
E07000133,Melton,3.59,2.71,2.82,3.01,3.32,,,,,,,,,,,,,,,,,,
E07000134,North West Leicestershire,3.51,2.66,2.95,2.42,3.05,,,,,,,,,,,,,,,,,,
E07000135,Oadby and Wigston,3.59,3.22,2.73,2.52,2.20,,,,,,,,,,,,,,,,,,
E10000019,Lincolnshire ,3.13,2.73,2.76,2.54,2.57,,,,,,,,,,,,,,,,,,
E07000136,Boston,3.21,2.81,3.01,2.07,2.85,,,,,,,,,,,,,,,,,,
E07000137,East Lindsey,2.89,2.79,3.32,2.36,2.58,,,,,,,,,,,,,,,,,,
E07000138,Lincoln,4.19,3.37,2.82,3.12,2.70,,,,,,,,,,,,,,,,,,
E07000139,North Kesteven,3.10,2.53,2.50,2.52,2.56,,,,,,,,,,,,,,,,,,
E07000140,South Holland,2.29,2.10,2.04,2.22,2.35,,,,,,,,,,,,,,,,,,
E07000141,South Kesteven,3.30,2.56,2.64,2.80,2.50,,,,,,,,,,,,,,,,,,
E07000142,West Lindsey,2.96,3.06,2.86,2.51,2.54,,,,,,,,,,,,,,,,,,
E10000021,Northamptonshire ,2.93,3.06,2.64,2.69,2.77,,,,,,,,,,,,,,,,,,
E07000150,Corby,2.65,3.04,3.19,2.75,2.97,,,,,,,,,,,,,,,,,,
E07000151,Daventry,2.63,2.72,2.10,2.56,2.85,,,,,,,,,,,,,,,,,,
E07000152,East Northamptonshire,2.86,3.10,2.83,2.93,3.62,,,,,,,,,,,,,,,,,,
E07000153,Kettering,3.37,3.25,2.87,2.68,2.68,,,,,,,,,,,,,,,,,,
E07000154,Northampton,3.04,2.95,2.57,2.64,2.65,,,,,,,,,,,,,,,,,,
E07000155,South Northamptonshire,2.60,3.11,2.33,2.53,2.13,,,,,,,,,,,,,,,,,,
E07000156,Wellingborough,3.03,3.40,2.80,2.83,2.70,,,,,,,,,,,,,,,,,,
E10000024,Nottinghamshire,3.03,2.70,2.79,2.69,2.57,,,,,,,,,,,,,,,,,,
E07000170,Ashfield,3.14,2.51,2.68,2.46,2.59,,,,,,,,,,,,,,,,,,
E07000171,Bassetlaw,3.01,2.18,2.81,2.33,2.80,,,,,,,,,,,,,,,,,,
E07000172,Broxtowe,3.33,2.97,2.64,2.79,2.46,,,,,,,,,,,,,,,,,,
E07000173,Gedling,2.74,2.64,2.87,2.54,2.23,,,,,,,,,,,,,,,,,,
E07000174,Mansfield,3.35,2.67,2.63,2.87,3.15,,,,,,,,,,,,,,,,,,
E07000175,Newark and Sherwood,3.01,3.11,2.78,3.08,2.37,,,,,,,,,,,,,,,,,,
E07000176,Rushcliffe,2.67,2.84,3.07,2.76,2.49,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000005,WEST MIDLANDS,3.04,2.85,2.67,2.63,2.75,,,,,,,,,,,,,,,,,,
E06000019,"Herefordshire, County of",3.03,3.05,2.89,2.84,2.73,,,,,,,,,,,,,,,,,,
E06000051,Shropshire,2.94,2.86,2.76,2.57,2.87,,,,,,,,,,,,,,,,,,
